,Title,Author,Description,Pages,Publication year,Publisher,Cover,Category,Subcategory,Price
64, عروس تزف إلى قبرها وقصص أخرى, مصطفى الرافعي, عروس تزف إلى قبرها ، الصورة الأخرى ، اللطمة ، الأرملة الساحرة ، الملائكة لا تظهر في أورروبا ، دجاجة على الفحم ، البخيل ، الخائف التائب ، ياسمين ،  صراع ، قطرات من دموع ، هذه المجموعة القصصية التي بين يدي القارىء كتبها أدباء كبار وعلماء أجلاء كلهم صاحب فكر عرضصراع ، قطرات من دموع ، هذه المجموعة القصصية التي بين يدي القارىء كتبها أدباء كبار وعلماء أجلاء كلهم صاحب فكر,61,2003, دار ابن حزم للطباعة والنشر والتوزيع, غلاف ورقي,الأدب والخيال,الأدب الإسلامي,11.25
65, تدبر المفصل, مركز التدبر للإستشارات التربوية والتعليمية, None,100,2017, دار الحضارة للنشر والتوزيع _ السعودية, غلاف ورقي,الأدب والخيال,الأدب الإسلامي,15.0
66, رقش, تميم التميمي, مجموعة ما قراءه تميم خلال سنتين في التراث العربي وتحديداً الأدبي ف إنتقاء منه ما أعجبه من الحِكم والقصص وأقوال عن فلاسفة وآخرين، أحاديث نبوية عن ا لمصطفى سيد المرسلين، خُطب للصحابة والخُلفاء الراشدين، وقصائد حب وصداقة ورثاء لأشهر الشعراء والعشاق. عرضلمصطفى سيد المرسلين، خُطب للصحابة والخُلفاء الراشدين، وقصائد حب وصداقة ورثاء لأشهر الشعراء والعشاق.,282,2016, دار كلمات للنشر والتوزيع - الكويت, غلاف ورقي,الأدب والخيال,الأدب الإسلامي,43.32
67, 5555 حكمة للإمام علي عليه السلام, حسين البلغى البحراني, None,381,0, دار الأميرة للطباعة والنشر والتوزيع, غلاف كرتوني,الأدب والخيال,الأدب الإسلامي,37.5
68, جمعية العلماء بدمشق, الشيخ محمد كامل القصاب, None,272,2015, دار طيبة للنشر والتوزيع, غلاف ورقي,الأدب والخيال,الأدب الإسلامي,30.0
69, المنح المكية في شرح الهمزية, أحمد بن محمد بن حجر الهيتمي, None,1556,0, المجمع الثقافي, غلاف فني,الأدب والخيال,الأدب الإسلامي,50.63
70, مصر في عيون العريفي, طارق أبو هشيمه, من تكون مصر التى يعرفها العريفي ويجهلها المصريون؟ هل صورة مصر في عيون العريفي اختلفت كثيرا عن صورتها فى عيون المصريين؟ هل يعرف المصريون قد ر مصر كما يعرفه العريفي؟ وهل حبه لمصر فاق حب المصريين لها؟ وهل خوفه عليا فاق خوفهم عليها؟ هل حقا فوجئنا بقيمة مصر بعد عرضر مصر كما يعرفه العريفي؟ وهل حبه لمصر فاق حب المصريين لها؟ وهل خوفه عليا فاق خوفهم عليها؟ هل حقا فوجئنا بقيمة مصر بعد,160,2013, سما للنشر والتوزيع-مصر, غلاف ورقي,الأدب والخيال,الأدب الإسلامي,11.25
71, ديوان الحنين, حسين البوخضر, None,312,0, دار القارئ, غلاف كرتوني,الأدب والخيال,الأدب الإسلامي,30.0
72, معلم خط النسخ, منصور العواجي, None,16,2016, دار الحضارة للنشر والتوزيع, غلاف ورقي,الأدب والخيال,الأدب الإسلامي,4.88
73," ""فتاة القيروان""", جرجي زيدان," روايات تاريخ الإسلام"" سلسلة من الروايات التاريخية تصور مراحل التاريخ الإسلامي منذ ظهور الإسلام روعي فيها عنصر التشويق مع التزام الحوادث التاريخ ية التزاماً دقيقاً من حيث الزمان والمكان والأشخاص مع وصف ما يتخللها من عادات وأخلاق وهذا الكتاب ""فتاة القيروان"" يدخل ضمن كتب هذه السلسلة وهو يشتمل على تأريخ ظهور دولة العبيديين أو الفاطميين في ""إفريقية"". سرد ومناقب ""المعز لدين الله"" وقائده ""جوهر"" إلى فتح ""مصر"" وإخراجها من الدولة ""الإخشيدية"" سنة 358هـ. ويتخلل ذلك وصف برابرة ""إفريقية"" وعاداتهم وأخلاقهم، وبيان الأسباب الاجتماعية التي ساعدت على ذلك الفتح، ولا سيما انهماك الإخشيديين في الترف واستبدادهم وانقسامهم، واتحاد جند الفاطميين ومحافظتهم على مناقب البادية. عرضية التزاماً دقيقاً من حيث الزمان والمكان والأشخاص مع وصف ما يتخللها من عادات وأخلاق وهذا الكتاب ""فتاة القيروان"" يدخل ضمن كتب هذه السلسلة وهو يشتمل على تأريخ ظهور دولة العبيديين أو الفاطميين في ""إفريقية"". سرد ومناقب ""المعز لدين الله"" وقائده ""جوهر"" إلى فتح ""مصر"" وإخراجها من الدولة ""الإخشيدية"" سنة 358هـ. ويتخلل ذلك وصف برابرة ""إفريقية"" وعاداتهم وأخلاقهم، وبيان الأسباب الاجتماعية التي ساعدت على ذلك الفتح، ولا سيما انهماك الإخشيديين في الترف واستبدادهم وانقسامهم، واتحاد جند الفاطميين ومحافظتهم على مناقب البادية.",160,0, دار البشير للطباعة والنشر والتوزيع, غلاف عادي,الأدب والخيال,الأدب الإسلامي,18.75
