title_ar,description_ar,pages,published_year,author_name_ar,author_slug,genre,cover,isbn
اﻷخلاق بين اﻷديان والفلسفة,لأخلاق حاجة ملحة للإنسان، تجعله يوفّق بين حاجاته وحاجات الجمع، بل تجعله يخاطر بنفسه لخير يعلو خيرات آنية، لذلك فلابد أن تكون الأخلاق نفسها بحاجة إ لى مصدر وجداني دائم، فهو يختار بين دين -كما فعلت جماهير بني آدم- أو فلسفة يضعها رجل ثم يهدمها غيره، وإلا فحياة بهيمية لا محالة. ومن البيّن أن الإيمان بسماوية الأخلاق أعمق وأكثر اتساقا معرفيا ونفسيا، فشتان بين دين يقول بأن الاهتمام بالضعفاء والإحسان إليهم سبب للنصر والرزق، وبين من لا يمتلك أدنى حجة لإدانة قتل طفل لمجرد إعاقته. عرضلى مصدر وجداني دائم، فهو يختار بين دين -كما فعلت جماهير بني آدم- أو فلسفة يضعها رجل ثم يهدمها غيره، وإلا فحياة بهيمية لا محالة. ومن البيّن أن الإيمان بسماوية الأخلاق أعمق وأكثر اتساقا معرفيا ونفسيا، فشتان بين دين يقول بأن الاهتمام بالضعفاء والإحسان إليهم سبب للنصر والرزق، وبين من لا يمتلك أدنى حجة لإدانة قتل طفل لمجرد إعاقته.,,,كريمة دوز,كريمة-دوز,أدب قصصي / عام, غير متوفر,
أرمانوسة المصرية,"روايات تاريخ الإسلام"" سلسلة من الروايات التاريخية تصور مراحل التاريخ الإسلامي منذ ظهور الإسلام روعي فيها عنصر التشويق مع التزام الحوادث التاريخ ية التزاماً دقيقاً من حيث الزمان والمكان والأشخاص مع وصف ما يتخللها من عادات وأخلاق وهذا الكتاب ""أرمانوسة المصرية"" يدخل ضمن كتب هذه السلسلة وهو يشتمل على تفاصيل فتح ""مصر"" و""الإسكندرية"" على يد ""عمرو بن العاص"" في صدر الإسلام (640م) مع بسط حال العرب وعاداتهم وأخلاقهم وأزيائهم وحال الأقباط والرومان في ذلك العصر. عرضية التزاماً دقيقاً من حيث الزمان والمكان والأشخاص مع وصف ما يتخللها من عادات وأخلاق وهذا الكتاب ""أرمانوسة المصرية"" يدخل ضمن كتب هذه السلسلة وهو يشتمل على تفاصيل فتح ""مصر"" و""الإسكندرية"" على يد ""عمرو بن العاص"" في صدر الإسلام (640م) مع بسط حال العرب وعاداتهم وأخلاقهم وأزيائهم وحال الأقباط والرومان في ذلك العصر.",,,جرجي زيدان,جرجي-زيدان,أدب قصصي / عام, غلاف عادي,
الطريق إلى القرآن,None,,,إبراهيم السكران,إبراهيم-السكران,أدب قصصي / عام, غلاف ورقي,
روائع من أدب الدعوة في القرآن والسيرة,None,,,أبي الحسن علي الحسني الندوي,أبي-الحسن-علي-الحسني-الندوي,أدب قصصي / عام, غلاف عادي,
دعوة غير المسلمين إلى الإسلام في المجتمع الإسلامي,None,,,عبدالله  اللحيدان,عبدالله-اللحيدان,أدب قصصي / عام, غلاف كرتوني,
صورة الرسول صلى الله عليه وسلم في القرآن بين الملك والإنسان,None,,,سامي الموصلي,سامي-الموصلي,أدب قصصي / عام, غلاف كرتوني,
رواد عالم الآثار في العراق,None,,,سالم الآلوسي,سالم-الآلوسي,أدب قصصي / عام, غلاف ورقي,
الدر الموصول في مدح آل الرسول,None,,,لا يوجد,لا-يوجد,أدب قصصي / عام, غلاف عادي,
مواقف دعا فيها النبي صلى الله عليه وسلم,None,,,حسن  همام,حسن-همام,أدب قصصي / عام, غلاف كرتوني,
تدبر سورة القصص,None,,,ناصر  العمر,ناصر-العمر,أدب قصصي / عام, غلاف ورقي,
مجالس الشعراء في غدير إمام البلغاء، الروض النضير في الشعر المنتخب من كتاب الغدير,None,,,عبد الحسين الأميني,عبد-الحسين-الأميني,أدب قصصي / عام, غلاف فني,
قصص اولي العزم من الرسل,None,,,ليلى بلخير,ليلى-بلخير,أدب قصصي / عام, غلاف ورقي,
